# ----------------------------------------
# Pages et écrans: Chemin de la page et classe de l'écran
# Compte : Oikos
# Propriété : Oikos US GA4
# ----------------------------------------
# 
# Tous les utilisateurs
# Date de début : 20260101
# Date de fin : 20260331
Chemin de la page et classe de l'écran,Vues,Utilisateurs actifs,Vues par utilisateur actif,Durée d'engagement moyenne par utilisateur actif,Nombre d'événements,Événements clés,Revenu total
/greek-yogurt-recipes/smoothies/recipe/berry-banana-smoothie,543,240,2.2625,31.9,1003,0,0
/greek-yogurt-recipes/breakfast/recipe/breakfast-doughnuts,527,248,2.125,31.125,1020,0,0
/greek-yogurt-recipes/breakfast/recipe/chocolate-yogurt-banana-bread,488,208,2.3461538461538463,38.45673076923077,918,0,0
/all-products/triple-zero/product/vanilla-peach-value-pack/,482,175,2.7542857142857144,27.394285714285715,1043,0,0
/greek-yogurt-recipes/breakfast/recipe/banana-berry-breakfast-crumble,482,211,2.2843601895734595,43.27014218009479,926,0,0
/greek-yogurt-recipes/breakfast/recipe/puffed-greek-yogurt-pancake,441,198,2.227272727272727,49.974747474747474,855,0,0
/greek-yogurt-recipes/dips-and-dressings,423,171,2.473684210526316,21.426900584795323,693,0,0
/greek-yogurt-recipes/desserts/recipe/whole-grain-greek-yogurt-pancakes,409,181,2.2596685082872927,29.39779005524862,769,0,0
/greek-yogurt-recipes/desserts/recipe/cheesecake-with-lemon-curd,375,177,2.1186440677966103,34.932203389830505,738,0,0
/greek-yogurt-recipes/breakfast/recipe/fruit-scones,372,161,2.31055900621118,45.838509316770185,685,0,0
/stronger-makes-everything-better/,358,108,3.314814814814815,26.694444444444443,673,0,0
/greek-yogurt-recipes/smoothies/recipe/power-berry-freeze-smoothie,343,153,2.241830065359477,26.45751633986928,610,0,0
/greek-yogurt-recipes/smoothies/recipe/sweet-summer-smoothie-with-oikos,331,144,2.298611111111111,30.63888888888889,640,0,0
/greek-yogurt-recipes/desserts/recipe/classic-yogurt-bundt-cake/,323,138,2.3405797101449277,50.10144927536232,803,0,0
/greek-yogurt-recipes/seasonal,320,147,2.17687074829932,19.918367346938776,526,0,0
/archive-contact-us/,313,88,3.5568181818181817,11.420454545454545,550,0,0
/studio/6967ec8a3b305cdbf5a92ee8,310,23,13.478260869565217,20.17391304347826,837,2,0
/greek-yogurt-recipes/breakfast/recipe/yogurt-fruit-and-almond-parfaits,295,136,2.1691176470588234,40.39705882352941,585,0,0
/content/edp/noram/oikos/us/en/nutrition-and-fitness-professionals-aem.html,282,2,141,5477,639,0,0
/greek-yogurt-recipes/smoothies/recipe/fruit-smoothies,261,116,2.25,21.396551724137932,462,0,0
/greek-yogurt-recipes/breakfast/recipe/greek-yogurt-banana-cranberry-bread,257,112,2.294642857142857,37.955357142857146,485,0,0
/content/edp/noram/oikos/us/en/archive-contact-us/,238,87,2.735632183908046,16.988505747126435,457,0,0
/greek-yogurt-recipes/breakfast/recipe/banana-mango-breakfast-popsicles,233,110,2.118181818181818,22.71818181818182,461,0,0
/privacy/,229,6,38.166666666666664,55.833333333333336,318,0,0
/greek-yogurt-recipes/desserts/recipe/vanilla-pound-cake,216,93,2.3225806451612905,64.09677419354838,431,0,0
/content/edp/noram/oikos/us/en/all-products/fusion.html,191,5,38.2,1248.4,494,0,0
/greek-yogurt-recipes/breakfast/recipe/oikos-parfait,176,79,2.2278481012658227,19.848101265822784,305,0,0
/greek-yogurt-recipes/smoothies/recipe/fruit-smoothies/,169,74,2.2837837837837838,17.77027027027027,435,0,0
/all-products/pro-yogurt-cultured-ultra-filtered-milk/product/peach-drink,165,78,2.1153846153846154,37.93589743589744,493,5,0
/all-products/pro-yogurt-cultured-ultra-filtered-milk/product/vanilla-quart,163,78,2.08974358974359,14.538461538461538,454,3,0
/all-products/pro-yogurt-cultured-ultra-filtered-milk/product/strawberry-shot,162,74,2.189189189189189,39.91891891891892,515,2,0
/greek-yogurt-recipes/savory/recipe/creamy-mac-and-cheese,158,71,2.2253521126760565,25.52112676056338,296,0,0
/content/edp/noram/oikos/us/en.html,155,17,9.117647058823529,77.6470588235294,515,0,0
/what-is-greek-yogurt/,154,73,2.1095890410958904,3.095890410958904,369,0,0
/content/edp/noram/oikos/us/en/contact-us.html,153,23,6.6521739130434785,283.60869565217394,554,0,0
/content/edp/noram/oikos/us/home-2/stronger-makes-everything-better-2.html,153,2,76.5,1462,350,0,0
/all-products/pro-yogurt-cultured-ultra-filtered-milk/product/vanilla,147,81,1.8148148148148149,11.802469135802468,445,0,0
/all-products/triple-zero/greek-nonfat-yogurt-strawberry/,146,76,1.9210526315789473,3.236842105263158,353,0,0
/greek-yogurt-recipes/desserts/recipe/greek-key-lime-pie,145,67,2.1641791044776117,46.059701492537314,289,0,0
/greek-yogurt-recipes/smoothies/recipe/sweet-summer-smoothie-with-oikos/,140,62,2.2580645161290325,26.64516129032258,365,0,0
/greek-yogurt-recipes/desserts/recipe/yogurt-berry-trifle,139,68,2.0441176470588234,35.64705882352941,265,0,0
/greek-yogurt-recipes/seasonal/recipe/spiced-apple-cake,134,63,2.126984126984127,36.79365079365079,252,0,0
/greek-yogurt-recipes/desserts/recipe/cookie-dough-bowl,129,56,2.3035714285714284,24.928571428571427,215,0,0
/greek-yogurt-recipes/desserts/recipe/vanilla-pound-cake/,129,54,2.388888888888889,33.72222222222222,315,0,0
/contact-us-static-form/,128,9,14.222222222222221,359.1111111111111,243,0,0
/content/edp/noram/oikos/us/en/contact-us-static-form.html,128,6,21.333333333333332,523.1666666666666,337,0,0
/greek-yogurt-recipes/breakfast/recipe/baked-creamy-yogurt-polenta,124,49,2.5306122448979593,36.93877551020408,248,0,0
/all-products/triple-zero/vanilla/,123,61,2.0163934426229506,2.8360655737704916,328,0,0
/greek-yogurt-recipes/desserts/recipe/golden-yellow-cupcakes,123,53,2.3207547169811322,25.67924528301887,231,0,0
/greek-yogurt-recipes/breakfast/recipe/puffed-greek-yogurt-pancake/,122,56,2.1785714285714284,17.517857142857142,281,0,0
/greek-yogurt-recipes/desserts/recipe/greek-key-lime-pie/,121,55,2.2,29.78181818181818,303,0,0
/greek-yogurt-recipes/smoothies/,121,67,1.8059701492537314,5.582089552238806,193,0,0
